Date,Value,quarter,month,weekofyear,year
2000-05-21,40.88,2,5,20,2000
2000-05-22,41.66,2,5,21,2000
2000-05-23,41.5,2,5,21,2000
2000-05-24,41.47,2,5,21,2000
2000-05-25,40.72,2,5,21,2000
2000-05-26,41.19,2,5,21,2000
2000-05-27,41.19,2,5,21,2000
2000-05-28,41.19,2,5,21,2000
2000-05-29,41.19,2,5,22,2000
2000-05-30,41.75,2,5,22,2000
2000-05-31,41.66,2,5,22,2000
2000-06-01,41.47,2,6,22,2000
2000-06-02,39.59,2,6,22,2000
2000-06-03,39.59,2,6,22,2000
2000-06-04,39.59,2,6,22,2000
2000-06-05,39.66,2,6,23,2000
2000-06-06,41.16,2,6,23,2000
2000-06-07,40.56,2,6,23,2000
2000-06-08,40.03,2,6,23,2000
2000-06-09,39.59,2,6,23,2000
2000-06-10,39.59,2,6,23,2000
2000-06-11,39.59,2,6,23,2000
2000-06-12,40.38,2,6,24,2000
2000-06-13,40.59,2,6,24,2000
2000-06-14,41.31,2,6,24,2000
2000-06-15,41.22,2,6,24,2000
2000-06-16,42.19,2,6,24,2000
2000-06-17,42.19,2,6,24,2000
2000-06-18,42.19,2,6,24,2000
2000-06-19,42.03,2,6,25,2000
2000-06-20,41.62,2,6,25,2000
2000-06-21,41.98,2,6,25,2000
2000-06-22,41.34,2,6,25,2000
2000-06-23,41.56,2,6,25,2000
2000-06-24,41.56,2,6,25,2000
2000-06-25,41.56,2,6,25,2000
2000-06-26,41.68,2,6,26,2000
2000-06-27,41.03,2,6,26,2000
2000-06-28,41.06,2,6,26,2000
2000-06-29,40.6,2,6,26,2000
2000-06-30,39.25,2,6,26,2000
2000-07-01,39.25,3,7,26,2000
2000-07-02,39.25,3,7,26,2000
2000-07-03,39.77,3,7,27,2000
2000-07-04,39.77,3,7,27,2000
2000-07-05,38.47,3,7,27,2000
2000-07-06,39.09,3,7,27,2000
2000-07-07,39.26,3,7,27,2000
2000-07-08,39.26,3,7,27,2000
2000-07-09,39.26,3,7,27,2000
2000-07-10,39.06,3,7,28,2000
2000-07-11,40.28,3,7,28,2000
2000-07-12,39.3,3,7,28,2000
2000-07-13,39.0,3,7,28,2000
2000-07-14,38.78,3,7,28,2000
2000-07-15,38.78,3,7,28,2000
2000-07-16,38.78,3,7,28,2000
2000-07-17,39.38,3,7,29,2000
2000-07-18,39.09,3,7,29,2000
2000-07-19,39.34,3,7,29,2000
2000-07-20,39.06,3,7,29,2000
2000-07-21,38.56,3,7,29,2000
2000-07-22,38.56,3,7,29,2000
2000-07-23,38.56,3,7,29,2000
2000-07-24,38.62,3,7,30,2000
2000-07-25,37.69,3,7,30,2000
2000-07-26,38.09,3,7,30,2000
2000-07-27,40.25,3,7,30,2000
2000-07-28,40.0,3,7,30,2000
2000-07-29,40.0,3,7,30,2000
2000-07-30,40.0,3,7,30,2000
2000-07-31,40.09,3,7,31,2000
2000-08-01,40.0,3,8,31,2000
2000-08-02,41.44,3,8,31,2000
2000-08-03,40.72,3,8,31,2000
2000-08-04,40.85,3,8,31,2000
2000-08-05,40.85,3,8,31,2000
2000-08-06,40.85,3,8,31,2000
2000-08-07,40.45,3,8,32,2000
2000-08-08,40.4,3,8,32,2000
2000-08-09,40.53,3,8,32,2000
2000-08-10,40.5,3,8,32,2000
2000-08-11,40.69,3,8,32,2000
